"","data_id","Total_Vocab","Vocab_F","Vocab_SE"
"1",129242,378,1.38168463902054,0.0576903044970307
"2",129243,293,0.800016900682952,0.00185224343306786
"3",129244,123,-0.000195641338732878,0.00639868628876399
"4",129245,196,0.400028453801724,0.00239728874862722
"5",129246,120,9.08845607568192e-05,0.00467737423723587
"6",129247,377,1.20202182052226,0.020009967245653
"7",129248,338,1.13854512276701,0.0922728318044607
"8",129249,442,1.93765027126474,0.095709756532143
"9",129250,406,1.55776746943555,0.0816665210816957
"10",129251,0,-2.84424793247562,0.432471412671692
"11",129252,405,1.50110584486567,0.0999997353464417
"12",129253,150,0.197265053357756,0.0232274730510004
"13",129254,27,-0.954740873718305,0.0941390804625998
"14",129255,91,-0.199839006156635,0.00843848916144799
"15",129256,165,0.199822884174401,0.00595721854868447
"16",129257,258,0.60039156525679,0.00884087497915725
"17",129258,145,0.181872926470555,0.0574179824740128
"18",129259,11,-1.41682570577999,0.132917096766865
"19",129260,123,-0.000460492270757562,0.0096273988879268
"20",129261,472,2.8343641771276,0.193737054982117
"21",129262,114,-0.015558088785021,0.0535685009378368
"22",129263,475,3.14080680539397,0.257410113210554
"23",129264,271,0.799122401737896,0.01321932123439
"24",129265,327,1.00061587678868,0.0110819148947661
"25",129266,154,0.199950892714826,0.00318787907378633
"26",129267,177,0.343496963478386,0.0900445122846356
"27",129268,383,1.38493165456123,0.0527949667071112
"28",129269,414,1.59315885957482,0.0371504937947095
"29",129270,478,3.63821377994253,0.389348690523452
"30",129271,40,-0.689420196820929,0.0997895819764641
"31",129272,194,0.399785033631931,0.00655397867762293
"32",129273,177,0.201243683040382,0.015722706431659
"33",129274,137,0.004977214828558,0.0311567223082186
"34",129275,31,-0.932145159203158,0.0999820654627383
"35",129276,34,-0.807986464426819,0.0597532382124714
"36",129277,7,-1.76324550474834,0.179913441371278
"37",129278,0,-2.84424793247562,0.432471412671692
"38",129279,0,-2.84424793247562,0.432471412671692
"39",129280,27,-1.07140680224303,0.103699427647266
"40",129281,15,-1.28387741469816,0.119764782684535
"41",129282,323,0.999968913797735,0.00254283993747627
"42",129283,7,-1.80709650592452,0.186924435766126
"43",129284,96,-0.199965766328268,0.00799498150610572
"44",129285,61,-0.539640414839836,0.0919650035455332
"45",129286,143,0.0617336469198519,0.0923887932223536
"46",129287,238,0.601455010990209,0.0169966319745546
"47",129288,261,0.600008193050798,0.00130450288980397
"48",129289,92,-0.205684025545148,0.0332592672230852
"49",129290,171,0.228131993921758,0.0695340934601803
"50",129291,170,0.200260371816342,0.00721611487434736
"51",129292,61,-0.452734143645519,0.0881478187438208
"52",129293,213,0.446423139452805,0.0844364852111705
"53",129294,40,-0.802699290082525,0.057662963127664
"54",129295,42,-0.771203448327804,0.0752708187242195
"55",129296,171,0.199977360782053,0.00228714275986133
"56",129297,155,0.199995924586788,0.00165667681073511
"57",129298,187,0.399999312734465,0.000905248491554925
"58",129299,227,0.59819624591834,0.0189076062697645
"59",129300,17,-1.30515046803516,0.122733730306824
"60",129301,38,-0.816152112828694,0.0654335768351985
"61",129302,266,0.792127205893294,0.0388918762214191
"62",129303,24,-1.07461877951715,0.10447441612569
"63",129304,390,1.40007466050573,0.00845111813104441
"64",129305,431,1.79461934577146,0.0449076220870934
"65",129306,156,0.199977618652951,0.00227738061453791
"66",129307,11,-1.51162625502447,0.144652622384656
"67",129308,0,-2.84424793247562,0.432471412671692
"68",129309,182,0.340834711480012,0.0912826728502768
"69",129310,247,0.600013775919143,0.00167123673184308
"70",129311,157,0.198739028627276,0.0158309088015746
"71",129312,453,2.11004850421682,0.106289083120448
"72",129313,132,0.00165995429383812,0.0181509139985812
"73",129314,237,0.599400156093987,0.0109366285002756
"74",129315,132,0.04624722737745,0.0843246357479114
"75",129316,257,0.600762356341379,0.0123243972678132
"76",129317,390,1.39712189266636,0.0239051025562769
"77",129318,21,-1.19572553139827,0.107811669602594
"78",129319,1,-2.58042114927584,0.356425778445439
"79",129320,390,1.4012007026318,0.0157659108910736
"80",129321,98,-0.188867088669101,0.0458634036872231
"81",129322,476,3.1178544414314,0.252131356206315
"82",129323,11,-1.53074648656306,0.147177892794218
"83",129324,149,0.167592290460641,0.0736972367232914
"84",129325,285,0.79999639979042,0.000964544615198523
"85",129326,365,1.19993958606857,0.00396383363913147
"86",129327,307,0.804822283925937,0.0306790243380065
"87",129328,102,-0.199206420879738,0.0130489088813157
"88",129329,174,0.231445173236677,0.0728027205233142
"89",129330,250,0.600083001311359,0.00407427592448466
"90",129331,248,0.600142241647238,0.00533214789151258
"91",129332,329,1.00000066043786,0.0013360378059995
"92",129333,394,1.39921435277429,0.0130868791255995
"93",129334,203,0.402080730186243,0.0202932837928181
"94",129335,315,0.999972791592186,0.00239262314603275
"95",129336,399,1.40007603776119,0.00845453622027052
"96",129337,218,0.402811365007559,0.023545058770203
"97",129338,0,-2.84424793247562,0.432471412671692
