"","data_id","age","ethnicity","mom_ed","sex","age_y","college_grad","total","M1_F","M1_SE","M2_F","M2_SE","M3_F","M3_SE"
"42",129296,27,"Other","Secondary","Male",0,0,5,0.00490957195515249,0.148430171518215,-0.0868417386153487,0.252613408539973,0.184425893460224,0.0853384436128035
"43",129297,28,"Hispanic","Some Secondary","Male",0,0,5,-0.140523252269296,0.171452170948306,-0.278481093506236,0.283972912446078,0.118321149468047,0.0921421003761412
"44",129301,27,"Hispanic","Secondary","Female",0,0,1,-0.671571839220993,0.299689462465343,-1.24545256258079,0.544446702935986,-0.201921803881242,0.137355917387109
"45",129302,28,"Hispanic","Secondary","Male",0,0,4,-0.108646249841876,0.165960004819624,-0.219103677634073,0.240595624317215,0.137987326329512,0.0804169157267508
"46",129304,30,"Black","Some Secondary","Male",0,0,16,0.565338871719474,0.0924802218665255,1.07269531878236,0.188682811753641,0.56398102841014,0.0649236559036636
"47",129305,29,"Black","Some College","Male",0,0,23,0.833620312737007,0.0928162621646596,1.54446821334498,0.161364646326845,0.718889577179364,0.0575362143376693
"48",129310,29,"Hispanic","Some College","Female",0,0,24,0.795018646172048,0.0861952508608072,1.46123343569635,0.174932615216866,0.69031356805083,0.0556478336476771
"49",129311,25,"Black","Secondary","Male",0,0,1,-0.835088420851448,0.355045754508616,-1.83716982837034,1.06032599386943,-0.292859776922463,0.256244130030179
"50",129312,30,"Black","Some Secondary","Male",0,0,20,0.687243872942392,0.104193734279335,1.27767237124671,0.177802901269141,0.637070099681381,0.0566644266507021
"51",129314,21,"Black","Some College","Female",1,0,4,-0.214548151058135,0.18498068511235,-0.373993775349279,0.356844972906335,0.0889320185813411,0.11458842199475
"52",129315,24,"Other","Some Secondary","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"53",129316,28,"Other","Some Secondary","Male",0,0,4,-0.258462483235362,0.193539302529829,-0.543311989731197,0.441626361348098,0.0333976837031207,0.147028926942909
"54",129317,26,"Other","Secondary","Male",0,0,22,0.796285407734575,0.0861218183788048,1.47969305065973,0.171114719429839,0.696191133676666,0.0556103655234197
"55",129318,29,"White","Some Secondary","Female",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"56",129320,23,"Other","Secondary","Male",1,0,24,0.818874425047572,0.0885718373947975,1.51347402132374,0.16464385907844,0.707378444614464,0.0561706947061901
"57",129321,27,"Black","Some Secondary","Male",0,0,4,-0.217460149770427,0.185535246954614,-0.391425415430712,0.36833490826225,0.0829371431599447,0.118907738557366
"58",129322,25,"White","Secondary","Female",0,0,17,0.61853434969156,0.0874921494114549,1.17668937217779,0.158077218659281,0.603107412019968,0.0552827464068956
"59",129324,28,"Other","Some Secondary","Male",0,0,12,0.353828875347906,0.105461441668175,0.606826977051546,0.145703725527885,0.412042623546426,0.0489012309367684
"60",129325,22,"White","Secondary","Male",1,0,22,0.777226884438156,0.0893095871819556,1.42682251510951,0.181182292661482,0.680058537342584,0.0561083722589577
"61",129326,29,"Other","Some College","Male",0,0,18,0.620685203279747,0.0880279566968337,1.16989535942159,0.158033845725734,0.600471138812569,0.0555393182705901
"62",129327,28,"Black","Secondary","Female",0,0,13,0.379008736978282,0.100342412679139,0.634903778143947,0.153419674043874,0.421693967025214,0.0521771840680277
"63",129328,21,"Other","Some College","Male",1,0,1,-0.816840995078455,0.348559845864672,-1.71443996980024,0.984715929462237,-0.271325000470131,0.221827911487808
"64",129330,25,"Black","Some College","Male",0,0,15,0.463622949391521,0.105298218846358,0.786951656688044,0.222394158079869,0.472809628841281,0.0718249968423784
"65",129332,25,"Other","Secondary","Male",0,0,11,0.302055666196904,0.115250765147142,0.567371762027368,0.15455152816542,0.398794672136834,0.0512320787619585
"66",129333,30,"Other","Secondary","Female",0,0,27,0.967522983984657,0.102465584339303,1.75182715464886,0.208113807792502,0.794218602326989,0.0657867833081128
"67",129334,26,"Black","Secondary","Male",0,0,4,-0.0616173365031426,0.15828319415352,-0.167818634895617,0.225755486881823,0.155955106844609,0.077572484455696
"68",129335,25,"Hispanic","Some Secondary","Female",0,0,4,-0.243278232118149,0.190531585414574,-0.478532406379251,0.416029471075448,0.0544064591029926,0.136799322032998
"69",129336,24,"Black","Some College","Male",1,0,22,0.762233869401432,0.0936531231616099,1.39428626037986,0.185103216523196,0.670784239139766,0.0566888531900656
"70",129337,18,"Hispanic","Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"71",129341,27,"Hispanic","Primary","Female",0,0,2,-0.537251770252112,0.2596694773847,-1.08902420081784,0.440923812158585,-0.161857961555527,0.144060623621282
"72",129343,20,"Other","Some College","Female",1,0,1,-0.77483351549896,0.333899343222891,-1.57723556328367,0.881036405485197,-0.250762453530939,0.18835212940257
"73",129344,24,"Other","Some College","Female",1,0,10,0.221866688729308,0.120254542612008,0.436105788908106,0.250430193196326,0.35418817547298,0.0839472167437405
"74",129345,29,"Hispanic","Some College","Female",0,0,26,0.988233039673145,0.100623660769762,1.81750407031223,0.215208862844274,0.81378863102959,0.0666288225215294
"75",129346,25,"Other","Secondary","Female",0,0,3,-0.395313498655007,0.223257864692688,-0.843662526962895,0.469738763023718,-0.0730839672522783,0.165167110400817
"76",129347,19,"Black","Some College","Female",1,0,7,0.131672056041195,0.130019134434973,0.197662333573881,0.327108802828671,0.276486534908322,0.106082786035049
"77",129348,27,"Other","Secondary","Male",0,0,1,-0.827420432632645,0.352311982584153,-1.82554989756563,1.05380059199749,-0.291081490112645,0.25347234551779
"78",129349,24,"Other","Some Secondary","Male",1,0,1,-0.827420432632645,0.352311982584153,-1.82554989756563,1.05380059199749,-0.291081490112645,0.25347234551779
"79",129350,27,"Black","Secondary","Male",0,0,19,0.66116186118718,0.0998683046893843,1.24020163868141,0.169283485734629,0.62517165118872,0.0557106810648812
"80",129351,29,"Black","Some Secondary","Male",0,0,9,0.208701190178354,0.120977765304094,0.433958133104937,0.251793432971999,0.353768922201636,0.0841972575319357
"81",129352,20,"Other","Some College","Female",1,0,3,-0.264882179155869,0.194826947250215,-0.500224125206532,0.425491355524064,0.0483028461983973,0.140025263447246
"82",129354,22,"Other","Some Secondary","Male",1,0,1,-0.835088420851448,0.355045754508616,-1.83716982837034,1.06032599386943,-0.292859776922463,0.256244130030179
"83",129356,27,"White","Some Secondary","Male",0,0,18,0.592586730841657,0.0855661062508489,1.11025327718393,0.172103022952347,0.57774311022492,0.0606566893243578
"84",129358,28,"Hispanic","Secondary","Female",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"85",129359,25,"Black","Some College","Female",0,0,4,-0.168773354066182,0.176488865502651,-0.298359711864055,0.300081518674681,0.112313185265844,0.0966679523735692
"86",129360,23,"Hispanic","Secondary","Female",1,0,2,-0.477832840699277,0.243695154527389,-0.978166333485864,0.447027591964173,-0.122656557397451,0.156672212187074
"87",129362,29,"White","Some College","Female",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"88",129363,20,"Other","Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"89",129364,22,"Hispanic","Some College","Male",1,0,5,-0.176683666293793,0.177926801782211,-0.349084480887665,0.339306934833376,0.0959043246775972,0.109367445690897
"90",129365,20,"Other","Some Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"91",129366,27,"Hispanic","Secondary","Female",0,0,5,-0.153154489849135,0.173685095394688,-0.303282369639253,0.304042577054226,0.111057878414507,0.0976346761981565
"92",129368,28,"Other","Some College","Female",0,0,1,-0.827420432632645,0.352311982584153,-1.82554989756563,1.05380059199749,-0.291081490112645,0.25347234551779
"93",129370,23,"Black","Secondary","Male",1,0,1,-0.649656901098153,0.29279867030142,-1.20502187248863,0.504860847274116,-0.193587021926714,0.136526508675929
"94",129372,29,"White","Some College","Female",0,0,5,-0.0737861799549103,0.160215370685151,-0.196897613516738,0.230397685722592,0.145519123641618,0.0781742127495729
"95",129373,26,"Hispanic","Some Secondary","Male",0,0,18,0.596906146865499,0.0851995254348145,1.12246763825383,0.167434977367455,0.58248533710542,0.0592690802619375
"96",129375,25,"White","Secondary","Female",0,0,2,-0.523063314295712,0.255757870281794,-1.07011796904615,0.438741020492691,-0.155875999441592,0.146132159940133
"97",129376,17,"Black","Secondary","Male",1,0,1,-0.844359495726158,0.35836655901817,-1.76178541396725,1.01567432270219,-0.278489496278612,0.23345963876818
"98",129379,29,"Hispanic","Secondary","Male",0,0,1,-0.756580552245078,0.327655156174461,-1.53157808555419,0.841551108903078,-0.244163646480873,0.178042894087073
"99",129380,20,"White","Graduate","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"100",129381,21,"Hispanic","Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"101",129383,28,"Hispanic","Secondary","Female",0,0,13,0.397331546266195,0.0983969901832637,0.667335302964898,0.169580922070095,0.433201832872861,0.0577086829570075
"102",129384,17,"Other","Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"103",129388,19,"Hispanic","Primary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"104",129392,22,"White","Secondary","Female",1,0,10,0.262206100929647,0.118609822975771,0.518864323105505,0.189054517620418,0.382640205734136,0.0632240221173992
"105",129393,29,"Hispanic","Secondary","Male",0,0,10,0.319030236269189,0.11267944602447,0.592069437070268,0.146065727417706,0.407148224782039,0.0486209510156836
"106",129396,28,"Other","Some Secondary","Female",0,0,12,0.367951574173023,0.102385313866863,0.622219161249633,0.148812180357776,0.417283440936603,0.0503673027895642
"107",129397,20,"Other","Secondary","Female",1,0,4,-0.172350949763141,0.177137702730849,-0.308507291978976,0.308221573038653,0.109167938209189,0.0990979861509027
"108",129399,29,"Hispanic","Some Secondary","Female",0,0,15,0.500978324529313,0.106698453773404,0.891916930787924,0.236017256876092,0.5054670390118,0.075130928708711
"109",129400,21,"Other","Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"110",129402,29,"White","Secondary","Male",0,0,10,0.193493068049393,0.122120337750254,0.366913567936899,0.287694493413604,0.331247666848511,0.0952829960906889
"111",129403,24,"Other","College","Female",1,1,5,-0.0642940594923207,0.158704741931498,-0.183976211658867,0.227044129562708,0.150230865819271,0.0775563351029036
"112",129404,18,"White","Some College","Female",1,0,2,-0.514754110046066,0.253495459666027,-1.07249743544158,0.438910508093917,-0.156104897620521,0.146052640099335
"113",129405,20,"Black","Some College","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"114",129406,27,"White","Some College","Female",0,0,15,0.509912740514231,0.105978388457018,0.924664069049998,0.233866476139627,0.515585182025952,0.0747481166958238
"115",129407,28,"Black","Secondary","Male",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"116",129409,29,"Other","Secondary","Male",0,0,5,-0.127099760066586,0.169113771960509,-0.253244727243255,0.263937325044758,0.126464803441912,0.0865071179694044
"117",129411,26,"Other","Some Secondary","Female",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"118",129412,25,"White","Secondary","Female",0,0,25,0.865954589829443,0.102291277164932,1.58590220891111,0.164172478260214,0.735380626692047,0.0601175527743166
"119",129413,21,"White","Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"120",129416,23,"Other","College","Male",1,1,3,-0.335448574502724,0.209649699371672,-0.682754762190838,0.471712598793596,-0.0140627465379472,0.161637571320172
"121",129418,21,"Other","Some College","Male",1,0,1,-0.835088420851448,0.355045754508616,-1.83716982837034,1.06032599386943,-0.292859776922463,0.256244130030179
"122",129419,21,"Other","Some Secondary","Female",1,0,18,0.592483429404662,0.0855782381482229,1.11136626869652,0.17165336631529,0.578116759945631,0.060544145391864
"123",129420,27,"Other","Some College","Female",0,0,16,0.545006630811042,0.0989147430585366,1.00557769010223,0.215797444441449,0.541101728404512,0.0710523709464365
"124",129421,26,"Other","Some Secondary","Female",0,0,14,0.522902721520821,0.104133728171455,0.972250341090257,0.225407589890171,0.530116782520925,0.0731047808813095
"125",129422,24,"Other","Some College","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"126",129425,23,"Black","Secondary","Male",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"127",129427,26,"White","Secondary","Male",0,0,12,0.352192402762547,0.105830506822676,0.611742029530019,0.146344708987407,0.413747831359546,0.0492687934357701
"128",129428,30,"Hispanic","Some College","Male",0,0,7,0.133204207568034,0.1297852613727,0.205886666220993,0.326722713423888,0.279539036041881,0.106002285010162
"129",129429,28,"White","Some Secondary","Female",0,0,37,2.11055950157113,0.428369026430466,4.13792257876096,0.585711366351637,1.61974863179879,0.277810679753226
"130",129430,29,"Black","Some College","Male",0,0,5,-0.110615326348191,0.166293030416516,-0.244461111807921,0.257339867926469,0.12942774714971,0.0846850794110947
"131",129431,25,"Other","Secondary","Male",0,0,6,-0.0363836152357778,0.154408058071304,-0.166957050522222,0.225775412577952,0.156153290072664,0.0775868469496137
"132",129432,27,"White","Some College","Male",0,0,12,0.42448843621525,0.0996779055839617,0.728505867207333,0.200937656321277,0.454230563706523,0.066609940506417
"133",129433,19,"Other","Secondary","Female",1,0,8,0.17255269683504,0.12429346958746,0.318196499206161,0.306116150974431,0.31523327194577,0.100615324593354
"134",129434,25,"Other","Secondary","Male",0,0,1,-0.827420432632645,0.352311982584153,-1.82554989756563,1.05380059199749,-0.291081490112645,0.25347234551779
"135",129437,26,"White","Some Secondary","Male",0,0,5,-0.085908433623113,0.162179148900176,-0.208182122052755,0.23493758971087,0.141424689567757,0.0792031773038333
"136",129438,30,"White","Some College","Female",0,0,14,0.492943226808023,0.10697267166445,0.867879847226299,0.235677712000598,0.497933749800379,0.0749955116867743
"137",129439,22,"Other","Some College","Female",1,0,7,0.0115341589025095,0.147503544379299,-0.112032553238892,0.240821609506813,0.175410631764086,0.0820752355868211
"138",129441,25,"Black","Some College","Female",0,0,6,-0.0151951867894901,0.151290152832405,-0.128918608664495,0.233976532245633,0.169304885078901,0.0801410100429294
"139",129442,22,"White","Secondary","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"140",129443,27,"Black","Secondary","Male",0,0,5,-0.108180770459097,0.165881404984156,-0.220672166462105,0.241498355375968,0.137244457636682,0.0807196313497288
"141",129448,23,"White","Secondary","Male",1,0,5,-0.113398088607063,0.166765126985312,-0.231600508811016,0.24832535302384,0.133698347330604,0.0823506398370607
"142",129450,27,"White","Secondary","Male",0,0,36,1.64127823502982,0.231022001400958,3.09839786956403,0.61099735383778,1.2392479215689,0.1989808185162
"143",129451,27,"White","Secondary","Female",0,0,28,1.02801188225049,0.103679817509404,1.89465976482201,0.213433698257205,0.836185822474557,0.0674461360420879
"144",129452,26,"White","Secondary","Female",0,0,34,1.41829066407731,0.166841661235563,2.53022095445145,0.275869346665446,1.04665648521984,0.0906380944812859
"145",129453,21,"White","Secondary","Male",1,0,14,0.527282573620737,0.103299940839152,0.989436916783538,0.220820973703915,0.53603894705296,0.0720810935209041
"146",129454,28,"White","Secondary","Female",0,0,31,1.15113843575565,0.122223852108675,2.10546513507479,0.210611009558196,0.9073122323748,0.0718752313210252
"147",129456,26,"White","Secondary","Male",0,0,22,0.768765298417843,0.0916852935348336,1.4111920513334,0.18335281822428,0.675522226421716,0.0563923973904027
"148",129458,25,"White","Secondary","Female",0,0,16,0.507521276541928,0.106214704900697,0.892549878019288,0.236004200117938,0.505373296938491,0.0751314715509283
"149",129459,30,"White","Secondary","Male",0,0,10,0.243892586551414,0.119370163211722,0.49647148256012,0.206969317007814,0.375082992198027,0.0693633192564798
"150",129460,25,"White","Secondary","Female",0,0,1,-0.827420432632645,0.352311982584153,-1.82554989756563,1.05380059199749,-0.291081490112645,0.25347234551779
"151",129461,27,"White","Secondary","Female",0,0,2,-0.505170723680667,0.25091209496985,-1.03002780399513,0.439544732834203,-0.142592704906627,0.150660739037336
"152",129462,27,"White","Secondary","Female",0,0,32,1.25932940652866,0.134522090485928,2.29527006588582,0.2430133156106,0.97115090868684,0.0795194569462357
"153",129464,28,"White","Secondary","Male",0,0,6,-0.00742691511853407,0.150175189082703,-0.126995683953264,0.234687738778908,0.170329973740626,0.0804424383373682
"154",129465,27,"White","Secondary","Female",0,0,3,-0.343162170252496,0.211347997209517,-0.704835529766375,0.473620715486177,-0.0220078369098594,0.163018958330556
"155",129466,25,"White","Secondary","Female",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"156",129467,25,"White","Secondary","Male",0,0,10,0.262846419399111,0.118578189769827,0.51647446428312,0.190974182125342,0.381751696860057,0.0639573162505931
"157",129468,27,"White","Secondary","Female",0,0,12,0.303431071768544,0.1150704953076,0.557727228746663,0.160122292086886,0.395548397365563,0.0531751710495387
"158",129469,28,"White","Secondary","Male",0,0,17,0.572867829796512,0.0900757295427876,1.06885113828891,0.19042149736012,0.562528778901273,0.0653670059802866
"159",129471,27,"White","Secondary","Male",0,0,20,0.681956209089312,0.103652658906613,1.25549610070929,0.172944704145423,0.629938716197493,0.0561068700043701
"160",129472,27,"White","Secondary","Female",0,0,11,0.284469553024907,0.117139768721606,0.537290624173971,0.174535328822864,0.388685765115536,0.058271674097802
"161",129473,30,"Black","College","Female",0,1,3,-0.370984864961715,0.217607934765305,-0.81649415067822,0.472503001718054,-0.0625618704109733,0.165654573518156
"162",129474,19,"Black","Some College","Female",1,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"163",129475,25,"Other","College","Male",0,1,1,-0.827420432632645,0.352311982584153,-1.82554989756563,1.05380059199749,-0.291081490112645,0.25347234551779
"164",129477,27,"Black","Some Secondary","Female",0,0,7,0.140716035616319,0.128650438841797,0.257482694116803,0.320867155658418,0.295740661788987,0.104599968471064
"165",129478,24,"Black","Some Secondary","Female",1,0,7,0.0659385505822307,0.139913867599265,0.00333224460301681,0.293431057861728,0.214605486620527,0.09625731326117
"166",129479,21,"Black","Secondary","Male",1,0,3,-0.292518116834772,0.200482813397486,-0.54455027999253,0.442039408572831,0.0333439270769115,0.147051987408805
"167",129482,22,"Black","Some Secondary","Female",1,0,4,-0.181478840202119,0.17880437299461,-0.317050453737286,0.314984634831764,0.106407568130198,0.101245157293819
"168",129483,16,"Black","Some College","Male",1,0,12,0.341899403414472,0.108131356140471,0.603486968167915,0.145476952551149,0.411041307010592,0.0487448309800699
"169",129484,27,"Black","Some Secondary","Female",0,0,11,0.362097755095901,0.103622940931995,0.628221225993573,0.15080352235684,0.419482888029277,0.0512238332288733
"170",129485,21,"Black","Some College","Male",1,0,1,-0.814047751816156,0.347573062807818,-1.63730590508799,0.929100404253121,-0.259575916306306,0.202599749373238
"171",129486,30,"Black","Secondary","Male",0,0,5,-0.0672649518836778,0.159174922508279,-0.186990683644156,0.227642513651401,0.149013033186237,0.0776590059239083
"172",129489,27,"Other","College","Male",0,1,32,1.17775823527636,0.124060383593946,2.15052705176725,0.219484873715844,0.923065039115614,0.0740254865616063
"173",129490,18,"Black","Some College","Female",1,0,12,0.379676527685183,0.10023595724636,0.643518511301608,0.15727894790564,0.424753895118807,0.0535961264079355
"174",129491,22,"Black","Secondary","Female",1,0,7,0.049917183413802,0.142177332867833,-0.0440002424875413,0.273282656475015,0.199037817272312,0.0908654071150982
"175",129492,22,"Black","Secondary","Female",1,0,1,-0.756580552245078,0.327655156174461,-1.53157808555419,0.841551108903078,-0.244163646480873,0.178042894087073
"176",129493,19,"Black","Secondary","Female",1,0,2,-0.537251770252112,0.2596694773847,-1.08902420081784,0.440923812158585,-0.161857961555527,0.144060623621282
"177",129494,28,"Black","Secondary","Female",0,0,20,0.709379085697045,0.104501826100939,1.31264256742967,0.18353757355503,0.647368793734953,0.0571900357419887
"178",129496,18,"Black","Some Secondary","Male",1,0,1,-0.835088420851448,0.355045754508616,-1.83716982837034,1.06032599386943,-0.292859776922463,0.256244130030179
"179",129497,29,"Black","Secondary","Male",0,0,0,-1.34153572636148,0.54687471002919,-3.54008064433544,0.969588116886763,-1.56863406423416,0.850760542398839
"180",129499,16,"Black","Some College","Male",1,0,11,0.295315636442154,0.116063939079849,0.560799202671783,0.158238631765621,0.396804823190709,0.0523750038800133
"181",129500,26,"Black","Some Secondary","Female",0,0,37,2.11055950157113,0.428369026430466,4.13792257876096,0.585711366351637,1.61974863179879,0.277810679753226
